  Freq. (cm^{-1})           IR Inten.        QC-IR Inten.
         297.6654        1.268223E-05        1.417749E-05
         299.7183        1.299983E-05        1.454348E-05
         301.7712        1.226014E-05        1.372630E-05
         303.8240        1.259942E-05        1.411679E-05
         305.8769        1.326622E-05        1.487509E-05
         307.9298        1.262352E-05        1.416510E-05
         309.9826        1.255146E-05        1.409486E-05
         312.0355        1.341038E-05        1.507072E-05
         314.0884        1.305760E-05        1.468531E-05
         316.1412        1.259951E-05        1.418077E-05
         318.1941        1.343774E-05        1.513559E-05
         320.2469        1.349511E-05        1.521164E-05
         322.2998        1.278230E-05        1.441899E-05
         324.3527        1.338667E-05        1.511209E-05
         326.4055        1.386646E-05        1.566549E-05
         328.4584        1.310574E-05        1.481719E-05
         330.5113        1.332400E-05        1.507527E-05
         332.5641        1.412446E-05        1.599293E-05
         334.6170        1.354048E-05        1.534321E-05
         336.6699        1.332147E-05        1.510636E-05
         338.7227        1.425157E-05        1.617321E-05
         340.7756        1.402716E-05        1.593048E-05
         342.8285        1.343591E-05        1.527044E-05
         344.8813        1.426185E-05        1.622131E-05
         346.9342        1.448832E-05        1.649124E-05
         348.9871        1.370051E-05        1.560620E-05
         351.0399        1.421836E-05        1.620821E-05
         353.0928        1.486728E-05        1.696063E-05
         355.1457        1.410998E-05        1.610875E-05
         357.1985        1.418678E-05        1.620855E-05
         359.2514        1.511325E-05        1.727997E-05
         361.3042        1.461754E-05        1.672569E-05
         363.3571        1.424281E-05        1.630911E-05
         365.4100        1.522405E-05        1.744573E-05
         367.4628        1.515539E-05        1.738003E-05
         369.5157        1.444023E-05        1.657226E-05
         371.5686        1.523133E-05        1.749322E-05
         373.6214        1.564457E-05        1.798124E-05
         375.6743        1.479919E-05        1.702229E-05
         377.7272        1.520270E-05        1.749947E-05
         379.7800        1.602358E-05        1.845812E-05
         381.8329        1.529913E-05        1.763674E-05
         383.8858        1.521582E-05        1.755378E-05
         385.9386        1.625571E-05        1.876744E-05
         387.9915        1.588112E-05        1.834863E-05
         390.0444        1.535038E-05        1.774864E-05
         392.0972        1.636365E-05        1.893432E-05
         394.1501        1.647775E-05        1.908054E-05
         396.2030        1.564944E-05        1.813488E-05
         398.2558        1.637940E-05        1.899490E-05
         400.3087        1.699556E-05        1.972411E-05
         402.3615        1.611814E-05        1.871974E-05
