  Freq. (cm^{-1})           IR Inten.        QC-IR Inten.
         297.6654        3.037461E-02        3.395582E-02
         299.7183        2.857655E-02        3.196985E-02
         301.7712        2.617927E-02        2.930999E-02
         303.8240        3.324285E-02        3.724634E-02
         305.8769        4.242468E-02        4.756976E-02
         307.9298        4.019844E-02        4.510748E-02
         309.9826        2.855858E-02        3.207029E-02
         312.0355        1.968049E-02        2.211714E-02
         314.0884        1.811563E-02        2.037386E-02
         316.1412        1.919488E-02        2.160388E-02
         318.1941        1.829121E-02        2.060229E-02
         320.2469        1.638388E-02        1.846784E-02
         322.2998        1.869296E-02        2.108646E-02
         324.3527        2.667869E-02        3.011733E-02
         326.4055        3.298202E-02        3.726108E-02
         328.4584        3.010152E-02        3.403241E-02
         330.5113        2.120235E-02        2.398912E-02
         332.5641        1.462487E-02        1.655954E-02
         334.6170        1.297438E-02        1.470174E-02
         336.6699        1.412118E-02        1.601322E-02
         338.7227        1.621910E-02        1.840603E-02
         340.7756        1.832374E-02        2.081005E-02
         342.8285        1.956931E-02        2.224129E-02
         344.8813        2.004203E-02        2.279563E-02
         346.9342        2.085161E-02        2.373421E-02
         348.9871        2.191597E-02        2.496439E-02
         351.0399        2.633968E-02        3.002590E-02
         353.0928        3.923199E-02        4.475597E-02
         355.1457        5.225322E-02        5.965523E-02
         357.1985        5.130173E-02        5.861279E-02
         359.2514        3.892208E-02        4.450217E-02
         361.3042        2.588181E-02        2.961450E-02
         363.3571        1.761665E-02        2.017241E-02
         365.4100        1.546927E-02        1.772673E-02
         367.4628        1.567056E-02        1.797081E-02
         369.5157        1.669716E-02        1.916242E-02
         371.5686        2.120227E-02        2.435085E-02
         373.6214        2.374556E-02        2.729219E-02
         375.6743        1.903071E-02        2.188946E-02
         377.7272        1.321288E-02        1.520904E-02
         379.7800        1.093816E-02        1.260005E-02
         381.8329        9.653545E-03        1.112855E-02
         383.8858        8.642360E-03        9.970291E-03
         385.9386        9.805540E-03        1.132063E-02
         387.9915        1.265218E-02        1.461800E-02
         390.0444        1.391902E-02        1.609366E-02
         392.0972        1.194273E-02        1.381888E-02
         394.1501        9.687513E-03        1.121773E-02
         396.2030        1.020795E-02        1.182918E-02
         398.2558        1.140659E-02        1.322802E-02
         400.3087        1.062127E-02        1.232646E-02
         402.3615        9.802770E-03        1.138502E-02
         404.4144        1.051050E-02        1.221605E-02
         406.4673        1.049887E-02        1.221161E-02
         408.5201        8.766426E-03        1.020412E-02
         410.5730        7.890215E-03        9.191037E-03
         412.6259        9.197725E-03        1.072207E-02
         414.6787        9.848091E-03        1.148874E-02
         416.7316        8.681104E-03        1.013486E-02
         418.7845        8.767305E-03        1.024309E-02
         420.8373        1.160714E-02        1.357101E-02
         422.8902        1.838134E-02        2.150733E-02
         424.9431        2.811323E-02        3.291864E-02
         426.9959        3.092226E-02        3.623465E-02
         429.0488        2.275010E-02        2.667829E-02
         431.1017        1.377355E-02        1.616376E-02
         433.1545        9.665519E-03        1.135124E-02
         435.2074        8.221881E-03        9.662971E-03
         437.2603        8.768784E-03        1.031336E-02
         439.3131        9.950462E-03        1.171185E-02
         441.3660        1.041561E-02        1.226841E-02
         443.4189        1.138581E-02        1.342112E-02
         445.4717        1.365881E-02        1.611234E-02
         447.5246        1.555290E-02        1.836022E-02
         449.5774        1.572405E-02        1.857599E-02
         451.6303        1.675389E-02        1.980724E-02
         453.6832        1.995859E-02        2.361342E-02
         455.7360        2.218270E-02        2.626419E-02
         457.7889        2.143125E-02        2.539321E-02
         459.8418        1.817471E-02        2.155054E-02
         461.8946        1.406016E-02        1.668404E-02
         463.9475        1.058699E-02        1.257198E-02
         466.0004        8.190530E-03        9.733372E-03
         468.0532        7.384858E-03        8.782407E-03
         470.1061        7.008690E-03        8.341195E-03
         472.1590        5.929972E-03        7.062589E-03
         474.2118        5.429908E-03        6.471777E-03
         476.2647        6.451650E-03        7.695231E-03
         478.3176        9.480462E-03        1.131618E-02
         480.3704        1.271447E-02        1.518757E-02
         482.4233        1.321352E-02        1.579530E-02
         484.4762        1.285762E-02        1.538117E-02
         486.5290        1.342954E-02        1.607716E-02
         488.5819        1.387838E-02        1.662671E-02
         490.6347        1.587333E-02        1.903069E-02
         492.6876        1.944919E-02        2.333495E-02
         494.7405        2.073628E-02        2.489747E-02
         496.7933        1.929828E-02        2.318792E-02
         498.8462        1.707477E-02        2.053132E-02
         500.8991        1.629797E-02        1.961166E-02
         502.9519        2.121640E-02        2.554882E-02
         505.0048        2.859093E-02        3.445452E-02
         507.0577        2.830805E-02        3.413863E-02
         509.1105        2.107312E-02        2.543216E-02
         511.1634        1.483781E-02        1.792019E-02
         513.2163        1.242347E-02        1.501530E-02
         515.2691        1.423244E-02        1.721425E-02
         517.3220        1.634959E-02        1.978945E-02
         519.3749        1.345149E-02        1.629353E-02
         521.4277        8.869527E-03        1.075135E-02
         523.4806        6.911224E-03        8.383690E-03
         525.5335        5.832643E-03        7.080490E-03
         527.5863        4.590793E-03        5.577032E-03
         529.6392        4.192526E-03        5.096930E-03
         531.6920        5.095895E-03        6.199700E-03
         533.7449        6.843008E-03        8.331334E-03
         535.7978        7.573330E-03        9.227234E-03
         537.8506        6.517859E-03        7.947064E-03
         539.9035        5.963069E-03        7.275931E-03
         541.9564        7.376951E-03        9.007672E-03
         544.0092        8.576584E-03        1.048013E-02
         546.0621        7.529797E-03        9.207727E-03
         548.1150        5.645921E-03        6.909087E-03
         550.1678        5.249964E-03        6.429227E-03
         552.2207        6.665054E-03        8.168128E-03
         554.2736        8.329541E-03        1.021542E-02
         556.3264        8.305037E-03        1.019279E-02
         558.3793        6.412607E-03        7.875939E-03
         560.4322        4.342024E-03        5.336740E-03
         562.4850        3.310328E-03        4.071655E-03
         564.5379        3.414103E-03        4.202353E-03
         566.5908        3.948314E-03        4.863438E-03
         568.6436        3.681812E-03        4.538466E-03
         570.6965        2.693356E-03        3.322438E-03
         572.7493        2.056698E-03        2.538922E-03
         574.8022        1.812418E-03        2.238992E-03
         576.8551        1.743876E-03        2.155884E-03
         578.9079        1.880142E-03        2.326032E-03
         580.9608        1.938668E-03        2.400180E-03
